AcresBurned,Counties,Started,Started_Date,Started_Hour
0.0,"Siskiyou, CA",2014-08-11T22:00:00Z,2014-08-11,22
151623.0,"Fresno, CA",2015-07-31T19:00:00Z,2015-07-31,19
77081.0,"Trinity, CA",2015-07-30T22:30:00Z,2015-07-30,22
69438.0,"Lake, CA",2015-07-29T15:29:00Z,2015-07-29,15
36503.0,"Trinity, CA",2015-07-30T21:30:00Z,2015-07-30,21
31359.0,"San Bernardino, CA",2015-06-17T15:52:00Z,2015-06-17,15
30361.0,"Del Norte, CA",2015-07-31T21:00:00Z,2015-07-31,21
29416.0,"Trinity, CA",2015-07-30T16:00:00Z,2015-07-30,16
25118.0,"Lake, CA",2015-08-09T15:34:00Z,2015-08-09,15
25118.0,"Napa, CA",2015-08-09T15:34:00Z,2015-08-09,15
10570.0,"Lassen, CA",2015-08-03T14:15:00Z,2015-08-03,14
7509.0,"Del Norte, CA",2015-08-01T23:23:00Z,2015-08-01,23
7000.0,"Inyo, CA",2015-02-06T14:07:00Z,2015-02-06,14
7000.0,"Mono, CA",2015-02-06T14:07:00Z,2015-02-06,14
6980.0,"Tulare, CA",2015-07-19T08:00:00Z,2015-07-19,08
5702.0,"Madera, CA",2015-07-25T14:30:00Z,2015-07-25,14
4883.0,"Humboldt, CA",2015-07-30T16:02:00Z,2015-07-30,16
4863.0,"Modoc, CA",2015-07-30T17:45:00Z,2015-07-30,17
4250.0,"San Bernardino, CA",2015-07-17T14:33:00Z,2015-07-17,14
3676.0,"Mono, CA",2015-08-14T21:31:00Z,2015-08-14,21
2700.0,"Alameda, CA",2015-08-19T14:45:00Z,2015-08-19,14
2446.0,"San Luis Obispo, CA",2015-08-16T18:13:00Z,2015-08-16,18
1850.0,"San Diego, CA",2015-08-13T13:03:00Z,2015-08-13,13
1791.0,"San Luis Obispo, CA",2015-06-20T14:41:00Z,2015-06-20,14
1542.0,"Trinity, CA",2015-06-10T15:00:00Z,2015-06-10,15
1450.0,"Merced, CA",2015-07-31T21:37:00Z,2015-07-31,21
1333.0,"Merced, CA",2015-07-18T22:27:00Z,2015-07-18,22
1086.0,"Monterey, CA",2015-09-19T15:00:00Z,2015-09-19,15
1049.0,"Riverside, CA",2015-04-18T18:12:00Z,2015-04-18,18
1042.0,"Butte, CA",2015-09-11T14:15:00Z,2015-09-11,14
920.0,"Madera, CA",2015-06-18T21:00:00Z,2015-06-18,21
860.0,"Butte, CA",2015-10-03T21:15:00Z,2015-10-03,21
673.0,"Lake, CA",2015-09-02T14:57:00Z,2015-09-02,14
670.0,"San Benito, CA",2015-10-12T16:00:00Z,2015-10-12,16
543.0,"Riverside, CA",2015-08-10T11:44:00Z,2015-08-10,11
509.0,"Mono, CA",2015-02-06T16:52:00Z,2015-02-06,16
500.0,"Madera, CA",2015-06-18T14:31:00Z,2015-06-18,14
430.0,"Tulare, CA",2015-07-21T12:35:00Z,2015-07-21,12
415.0,"Mariposa, CA",2015-09-07T21:23:00Z,2015-09-07,21
415.0,"Los Angeles, CA",2015-06-24T13:22:00Z,2015-06-24,13
400.0,"Butte, CA",2015-07-29T11:25:00Z,2015-07-29,11
374.0,"Los Angeles, CA",2015-08-16T13:30:00Z,2015-08-16,13
355.0,"Amador, CA",2015-07-02T01:58:00Z,2015-07-02,01
300.0,"Los Angeles, CA",2015-08-16T15:30:00Z,2015-08-16,15
300.0,"Alameda, CA",2015-06-05T20:22:00Z,2015-06-05,20
282.0,"Ventura, CA",2015-08-02T13:15:00Z,2015-08-02,13
275.0,"Merced, CA",2015-05-11T10:26:00Z,2015-05-11,10
242.0,"Alameda, CA",2015-05-28T17:00:00Z,2015-05-28,17
227.0,"Mendocino, CA",2015-07-30T14:00:00Z,2015-07-30,14
215.0,"Santa Clara, CA",2015-09-09T15:58:00Z,2015-09-09,15
215.0,"Lake, CA",2015-08-22T17:30:00Z,2015-08-22,17
214.0,"Orange, CA",2015-07-13T10:47:00Z,2015-07-13,10
212.0,"Shasta, CA",2015-07-29T17:55:00Z,2015-07-29,17
211.0,"Santa Barbara, CA",2015-06-29T13:11:00Z,2015-06-29,13
204.0,"Tuolumne, CA",2015-07-29T16:30:00Z,2015-07-29,16
200.0,"Los Angeles, CA",2015-07-17T21:30:00Z,2015-07-17,21
200.0,"Siskiyou, CA",2015-02-24T12:15:00Z,2015-02-24,12
195.0,"Contra Costa, CA",2015-07-30T11:18:00Z,2015-07-30,11
186.0,"Ventura, CA",2015-08-14T15:22:00Z,2015-08-14,15
181.0,"Siskiyou, CA",2015-07-13T17:56:00Z,2015-07-13,17
171.0,"San Diego, CA",2015-06-17T17:03:00Z,2015-06-17,17
170.0,"Fresno, CA",2015-09-09T14:30:00Z,2015-09-09,14
170.0,"Tehama, CA",2015-07-04T16:33:00Z,2015-07-04,16
167.0,"Kern, CA",2015-08-20T15:57:00Z,2015-08-20,15
167.0,"San Diego, CA",2015-07-24T16:18:00Z,2015-07-24,16
164.0,"Ventura, CA",2015-06-22T07:00:00Z,2015-06-22,07
158.0,"Humboldt, CA",2015-07-24T23:00:00Z,2015-07-24,23
158.0,"Yuba, CA",2015-06-18T13:07:00Z,2015-06-18,13
150.0,"Solano, CA",2015-07-06T10:47:00Z,2015-07-06,10
150.0,"Riverside, CA",2015-07-01T20:38:00Z,2015-07-01,20
146.0,"Humboldt, CA",2015-08-18T18:30:00Z,2015-08-18,18
137.0,"Plumas, CA",2015-04-13T05:30:00Z,2015-04-13,05
135.0,"Madera, CA",2015-06-21T12:08:00Z,2015-06-21,12
128.0,"Trinity, CA",2015-08-25T14:08:00Z,2015-08-25,14
122.0,"San Joaquin, CA",2015-06-18T14:09:00Z,2015-06-18,14
116.0,"Modoc, CA",2015-07-23T16:40:00Z,2015-07-23,16
114.0,"Calaveras, CA",2015-08-13T16:15:00Z,2015-08-13,16
112.0,"Tuolumne, CA",2015-08-15T16:11:00Z,2015-08-15,16
111.0,"Lassen, CA",2015-06-30T18:00:00Z,2015-06-30,18
110.0,"Sacramento, CA",2015-09-03T12:12:00Z,2015-09-03,12
110.0,"Tehama, CA",2015-08-08T14:55:00Z,2015-08-08,14
110.0,"Placer, CA",2015-06-08T10:33:00Z,2015-06-08,10
109.0,"Shasta, CA",2015-09-11T15:08:00Z,2015-09-11,15
108.0,"Tuolumne, CA",2015-09-08T13:23:00Z,2015-09-08,13
104.0,"Butte, CA",2015-10-02T14:38:00Z,2015-10-02,14
100.0,"San Bernardino, CA",2015-06-25T18:30:00Z,2015-06-25,18
95.0,"Monterey, CA",2015-09-19T15:25:00Z,2015-09-19,15
95.0,"San Luis Obispo, CA",2015-07-10T12:41:00Z,2015-07-10,12
90.0,"Shasta, CA",2015-07-30T12:57:00Z,2015-07-30,12
86.0,"Tulare, CA",2015-07-30T12:40:00Z,2015-07-30,12
80.0,"San Diego, CA",2015-06-26T16:06:00Z,2015-06-26,16
80.0,"Riverside, CA",2015-06-01T10:16:00Z,2015-06-01,10
77.0,"Modoc, CA",2015-07-23T17:30:00Z,2015-07-23,17
75.0,"Shasta, CA",2015-08-02T03:00:00Z,2015-08-02,03
